domicilio;caract_sitio;autores;f_e;tamaÑo_mts;ubicacion;tecnica;nombre_obra;lon;lat
Marcelo Torcuato de Alvear 626;Galería Embassy;Juan Antonio Vázquez;1965;4 x 2,50;Acceso Por M.T. De Alvear;Altorrelieve Con Figuras De Bronce;Personajes;-58.376;-34.5967
Marcelo Torcuato de Alvear 626;Galería Embassy;Juan Antonio Vázquez;1965;4 x 2,50;Acceso Por M.T. De Alvear;Altorrelieve Con Figuras De Bronce;Personajes;-58.376;-34.5967
Av. Alvear 1800 y Av. Callao;Vivienda Multifamiliar ;Julio Geró;1950;;Fachada;Relieve;Mujer y paloma;-58.3882;-34.5883
Av. Corrientes 2415/25;Oficinas;Autor desconocido;1970;;Fachada;Mural Cerámico;Título desconocido;-58.4012;-34.6046
Echeverría 2210 esquina Cuba;Vivienda Multifamiliar ;Eduardo Alonso Casellas;1980;;Hall;Pintura Mural;Fiesta en el Barrio Chino;-58.4539;-34.5621
Esmeralda 1075 / 77;Vivienda Multifamiliar ;Luis Seoane;1934;;Hall;Concreto/resinas/metal;Las Pescadoras;-58.3782;-34.5955
Esmeralda 1075 / 77;Vivienda Multifamiliar ;Luis Seoane;1934;;Hall;Vitraux;Escenas campesinas;-58.3782;-34.5955
O`Higgins 1815;Viivenda Multifamiliar;Horacio Vopdovotz;1966;;Fachada;Mural Cerámico;Lago Kineret;-58.4506;-34.5624
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Gregorio López Naguil;1939;4,85 x 4,00;Hall;Óleo S/ Tela;La Pesca;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Cesáreo Bernaldo De Quirós;1939;4,85 x 4,00;Hall;Óleo S/ Tela;Tierra de promisión;-58.3702;-34.6093
Comodoro Py 2002 y Av. Antártida Argentina;Edificio De Tribunales;Atilio Boveri;;;;Pintura S/ Vidrio;;-58.3691;-34.5876
Av. 9 de Jukio 1925 ;Ministerio De Salud;Benito Quinquela Martín;1938;;Despacho Ministerial;Pintura Mural;En plena actividad;-58.3815;-34.6122
Agüero 2502;Biblioteca Nacional;Carlos Páez Vilaró;1998;;Hall Primer Piso;Pintura Mural;A la Biblioteca Nacional;-58.3978;-34.5848
Arenales 819;                    Palacio San Martín;Marcelle Rondenay;1910;;Cielorraso Salón Dorado;Marouflage (oleo Sobre Tela Pegado Al Cielorraso);América y la fortuna;-58.3788;-34.5941
Av. Santa Fe 750;           Círculo Militar, Ex Palacio Paz;;1912;16m de diámetro;Cúpula Del Gran Hall De Honor;Vitraux;;-58.3778;-34.5959
Av.de los Inmigrantes y Av.Pte. Castillo;Terminal De Cruceros;Benito Quinquela Martín;1930;18 x 3,20;;Oleo S/ Soporte Rígido;Día de trabajo;-58.3687;-34.5842
Av.del Libertador 1850;Automóvil Club Argentino;Emilio Centurión / Dante Ortolani;1942;;Salón De Actos;Fresco;Actividades del país;-58.4;-34.5831
Av.del Libertador 1850;Automóvil Club Argentino;Alfredo Guido;1942;;Salón De Turismo;Fresco;La Panamericana;-58.4;-34.5831
Av.del Libertador 1850;Automóvil Club Argentino;Héctor Basaldúa;1942;;Hall 8º Piso;Fresco;Las estaciones de servicio;-58.4;-34.5831
Av.del Libertador 1850;Automóvil Club Argentino;Mercedes Rodrigué / Jorge Soto Acebal;1942;;Salón Comedor, 9º Piso;Fresco;Un alto en la ruta;-58.4;-34.5831
Av. Diagonal Norte Roque Sáenz Peña 615;Poder Judicial De La Nación;Juan Carlos Miraglia;;;Primer Piso;Relieve Escultórico;Relieve;-58.3757;-34.6067
Av. Diagonal Norte Roque Sáenz Peña 777;Ex Edificio De Ypf;Alberto Lagos;1938;;Hall De Acceso;Relieve;Alegoría;-58.3777;-34.6057
Carlos Pellegrini 211;    Gob. C.Bs. As., Ex Mercado Del Plata;Juan Antonio Vázquez;1963;10 x 6;Hall De Acceso;Mural Cerámico;Título desconocido;-58.3805;-34.6055
Carlos Pellegrini 291;    Gob. C.Bs. As., Ex Mercado Del Plata;Juan Antonio Vázquez;1963;10 x 6;Hall De Acceso;Mural Cerámico ;Título desconocido;-58.3805;-34.6055
Gándara 2840;Club Social El Trébol;Pedro Gaeta;1989;;Interior;Pintura Mural;Mitología porteña, Parque Chas;-58.4809;-34.5835
Estados Unidos 1532;Sindicato De Los Obreros De La Alimentación;Ricardo Carpani;1966;;Salón De Actos;Pintura Mural;Trabajo, solidaridad y lucha;-58.3879;-34.6192
Estados Unidos 1532;Sindicato De Los Obreros De La Alimentación;Ricardo Carpani;1974;;Salón De Actos;Pintura Mural;Conciencia;-58.3879;-34.6192
Estados Unidos 1532;Sindicato De Los Obreros De La Alimentación;Pascual Di Bianco;1966;;Salón De Actos;Pintura Mural;Trabajadores;-58.3879;-34.6192
Sarmiento 151;                     Correo Central;Amadeo Dell'Acqua;1945;2 x 6;Sala De Correo;Oleo Sobre Madera Terciada;Las comunicaciones modernas;-58.3695;-34.6036
Sarmiento 151;                     Correo Central;Amadeo Dell'Acqua;1945;2 x 6;Sala De Correo;Oleo Sobre Madera Terciada;Las comunicaciones marítimas de la primera época;-58.3695;-34.6036
Tucuman 737;Sindicato Del Vestido;Pascual Di Bianco;1964;5.50 x 4;Hall;Pintura Mural ;Dirigentes en Asamblea;-58.3774;-34.6008
Tucuman 737;Sindicato Del Vestido;Ricardo Carpani;1964;5.50 x 4;Hall;Pintura Mural;1° de mayo;-58.3774;-34.6008
Alsina 1766;Asociación Argentina De Actores;Raúl Soldi;1960;6 x 2;Hall;Oleo S/tela;Alegoría;-58.3912;-34.6118
Av. Angel Gallardo y Leopoldo Marechal;Capilla Del Divino Rostro;Augusto  César Ferrari;1915;;Capilla;Pintura Mural Al Grafito;La beneficencia a través de los siglos;-58.4393;-34.6056
Av. Angel Gallardo 470;Museo Ciencias Naturales;Alfredo Bigatti;1938;2,50 x 1,50;Fachada;Bajorrelieve;Flamencos;-58.4381;-34.6051
Av. Angel Gallardo 470;Museo Ciencias Naturales;Alfredo Bigatti;1938;2,50 x 1,50;Fachada;Bajorrelieve;Tapires;-58.4381;-34.6051
Av. Angel Gallardo 470;Museo Ciencias Naturales;Donato A. Proietto;1938;2,50 x 1,50;Fachada;Bajorrelieve;Llamas;-58.4381;-34.6051
Av. Angel Gallardo 470;Museo Ciencias Naturales;Donato A. Proietto;1938;2,50 x 1,50;Fachada;Bajorrelieve;Cóndores;-58.4381;-34.6051
Av. Angel Gallardo 470;Museo Ciencias Naturales;Emilio J. Sarniguet;1938;2,50 x 1,50;Fachada;Bajorrelieve;Pumas;-58.4381;-34.6051
Av. Angel Gallardo 470;Museo Ciencias Naturales;Luis C. Rovatti;1938;2,50 x 1,50;Fachada;Bajorrelieve;Guanacos;-58.4381;-34.6051
Av. Angel Gallardo 470;Museo Ciencias Naturales;Luis C. Rovatti;1938;2,50 x 1,50;Fachada;Bajorrelieve;Aborígenes;-58.4381;-34.6051
Av. Angel Gallardo 470;Museo Ciencias Naturales;Juan Carlos Oliva Navarro;1938;2,50 x 1,50;Fachada;Bajorrelieve;Focas y lobo de mar;-58.4381;-34.6051
Av. Córdoba 701;Sociedad Estímulo De Bellas Artes;Carlos Terríbili;1996;12 x 3;Fachada;Pintura Mural;Alegorías;-58.377;-34.5987
Av. Corrientes 1153;Centro Cultural De La Cooperación;Carlos Alonso;2002;2,30 x 3;Planta Baja;Acrílico Sobre Tela;El Taller;-58.3832;-34.6035
Av. Corrientes 1153;Centro Cultural De La Cooperación;Rodolfo Campodónico;2002;3 x 2,30;Subsuelo;Oleo Sobre Tela;La vida sobre la mesa;-58.3832;-34.6035
Av. Corrientes 1153;Centro Cultural De La Cooperación;Aníbal Cedrón;2002;2,30 x 3;Subsuelo;Acrílico Sobre Tela;La marea donde ardía;-58.3832;-34.6035
Av. Corrientes 1153;Centro Cultural De La Cooperación;Luis Felipe Noé;2002;3 x 2,30;Subsuelo;Acrílico Sobre Tela;Camino a la solidaridad, la cooperación y la esperanza;-58.3832;-34.6035
Av. Corrientes 1153;Centro Cultural De La Cooperación;Carlos Gorriarena;2002;2,30 x 3;Planta Baja;Acrílico Sobre Tela;!Ah, la vaca!;-58.3832;-34.6035
Av. Corrientes 1530;Teatro Gral. San Martín;Carlos De La Cárcova;1959;5 x 3;Hall Sala Casacuberta;Altorrelieve;Alegoría;-58.3886;-34.6048
Av. Corrientes 1530;Teatro Gral. San Martín;Luis Seoane;1959;35 x 11;Hall Sala Casacuberta;Pintura Mural Con Resinas Sintéticas;El nacimiento del Teatro Argentino;-58.3886;-34.6048
Av. Corrientes 1530;Teatro Gral. San Martín;Juan Batlle Planas;1960;24 x 2,90;Sala Carlos Morel;Mural Cerámico;Alegoría;-58.3886;-34.6048
Av. Corrientes 1530;Teatro Gral. San Martín;José Fioravanti;1959;5 x 2,50;Hall Sala Martín Coronado;Altorrelieve De Cemento Coloreado;El teatro criollo;-58.3886;-34.6048
Av. Corrientes 1530;Teatro Gral. San Martín;Juan Antonio Ballester Peña;1959;;Sala Leopoldo Lugones;Mural Cerámico;Título desconocido;-58.3886;-34.6048
Av. Corrientes 1530;Teatro Gral. San Martín;Rogelio Polesello;2006;;Sala Leopoldo Lugones;Mural De Pastillas De Pasta De Vidrio;Nunca recuerdo olvidarte;-58.3886;-34.6048
Av. Corrientes 1530;Teatro Gral. San Martín;Luis Diego Pedreira;2000;;Sala Cunil Cabanillas;Mural Cerámico;Los hermanos Podestá;-58.3886;-34.6048
Av. de Mayo 575;Casa De La Cultura;Nazareno Orlandi;1898;;Salón Dorado;Marouflage (oleo Sobre Tela Pegado Al Cielorraso);Atenea y las musas;-58.3744;-34.6082
Av. Del Libertador 1473;Museo Nacional De Bellas Artes;Alfredo Bigatti;1937;;Sala De Exposiciones;Relieve En Bronce;Cocina criolla;-58.3945;-34.5832
Av. Del Libertador 2373;Museo De Arte Popular José Hernández;Alejandro Puente;2007;;Acceso;Mural De Pastillas De Pasta De Vidrio;Homenaje al artista artesano;-58.4049;-34.5796
Av. Garay 102;Diario Crónica;Carlos Genovese;1998;3 x 2;Fachada;Pintura Mural;Bailongo del 900;-58.3667;-34.6241
Av.Las Heras 1833;Colegio De Escribanos;Raúl Soldi;1972;;Salón Soldi;Marouflage (oleo Sobre Tela Pegado A La Pared);Las mujeres sabias;-58.392;-34.5913
Av. Pedro de Mendoza 1821;Teatro De La Ribera;Benito Quinquela Martín;1968;4 x 4;Sala Teatral;Oleo S/ Harboard;Saludo a la Bandera;-58.3609;-34.6387
Av. Pedro de Mendoza 1821;Teatro De La Ribera;Benito Quinquela Martín;1968;4 x 4;Sala Teatral;Oleo S/ Harboard;Procesión náutica;-58.3609;-34.6387
Av. Pedro de Mendoza 1821;Teatro De La Ribera;Benito Quinquela Martín;1968;4 x 4;Sala Teatral;Oleo S/ Harboard;Día del Trabajo;-58.3609;-34.6387
Av. Pedro de Mendoza 1821;Teatro De La Ribera;Benito Quinquela Martín;1968;4 x 4;Sala Teatral;Oleo S/ Harboard;Tango de la ribera;-58.3609;-34.6387
Av. Pedro de Mendoza 1821;Teatro De La Ribera;Benito Quinquela Martín;1967;4 x 4;Sala Teatral;Oleo S/ Harboard;Arrancando;-58.3609;-34.6387
Av. Pedro de Mendoza 1821;Teatro De La Ribera;Benito Quinquela Martín;1967;4 x 4;Sala Teatral;Oleo S/ Harboard;Día de fiesta;-58.3609;-34.6387
Av. Pedro de Mendoza 1821;Teatro De La Ribera;Benito Quinquela Martín;1968;4 x 4;Hall Primer Piso;Oleo S/ Harboard;Rincón de La Boca;-58.3609;-34.6387
Av. Santa Fe 1235;Casa Del Teatro , Teatro Regina;Benito Quinquela Martín;1928;3 x 5;Foyer;Oleo S/ Tela;Descargando carbón;-58.385;-34.5954
Av. Santa Fe 1235;Casa Del Teatro , Teatro Regina;Benito Quinquela Martín;1928;3 x 5;Foyer;Oleo S/ Tela;En plena actividad;-58.385;-34.5954
Boulogne Sur Mer 547;Teatro Ift;C.Biscione, M.Glorioso, W. Viladrich;1952;2.50 x 3.60;Terraza ;Relieve Escultórico En Piedra;Alegoría de la Poesía, la Tragedia, la Danza, la Comedia y la Música;-58.4061;-34.6037
Boulogne Sur Mer 547;Teatro Ift;Julio Barragán y otros;1952;15 x 3;Sala De 2° Piso;Pintura Mural ;Historia de los Teatros argentino y judío;-58.4061;-34.6037
Boulogne Sur Mer 547;Teatro Ift;Juan Carlos Castagnino;1952;irregular;Foyer Teatro;Grabado En Mármol;El teatro es escuela para adultos;-58.4061;-34.6037
Boulogne Sur Mer 547;Teatro Ift;Manuel Kantor;1952;irregular;Entrepiso Foyer;Grabado En Mármol;Músicos populares;-58.4061;-34.6037
Boulogne Sur Mer 547;Teatro Ift;Bartolomé Mirabelli;1952;irregular;Entrepiso Foyer;Grabado En Mármol;Cantantes populares;-58.4061;-34.6037
Caminito;Calle Museo;Benito Quinquela Martín;;1 x 1.20;calle;Mosaico veneciano;Rincón boquense;;
Caminito;Calle Museo;Julio Vergottini;c1948;1.70 x 2.40;calle;Bajorrelieve;La canción;;
Caminito;Calle Museo;Israel Hoffman;c1948;0.75 x 1.45;calle;Bajorrelieve;Guardia Vieja - Tango;;
Caminito;Calle Museo;Roberto Capurro;c1948;1.40 x 1.40;calle;Altorrelieve;Esperando la barca;;
Caminito;Calle Museo;Marisa Balmaseda Krause;1948;0.95 x 1.75;calle;Bajorrelieve;Herrero boquense;;
Caminito;Calle Museo;Luis Perlotti;1939;1.60 x 2.50;calle;Bajorrelieve;Las tejedoras;;
Caminito;Calle Museo;Ricardo Sánchez;1965;3 x 5,3;calle;Mural cerámico;Regreso de la pesca;;
Caminito;Calle Museo;Luis Perlotti;1948;1.10 x 1.80;calle;Bajorrelieve;Santos Vega;;
Caminito;Calle Museo;Ybarra García;c1948;1.32 x 2.44;calle;Bajorrelieve;Fragata Sarmiento;;
Caminito;Calle Museo;Luis Perlotti;c1948;1 x 0.90;calle;Bajorrelieve;Clavel del aire;;
Caminito;Calle Museo;Benito Quinquela Martín;c1948;0.66 x 0.85;calle;Mural cerámico;Día del Trabajo;;
Caminito;Calle Museo;Humberto Cerantonio;c1948;1.50 x 4.20;calle;Altorrelieve;El maestro - El coro - El trabajo (tríptico);;
Caminito;Calle Museo;Mar Fernández;c1948;0.88 x 1.25;calle;Bajorrelieve;La familia;;
Caminito;Calle Museo;Julio Vergottini;c1948;4 x 2.30;calle;Bajorrelieve;La sirga;;
Lambaré 873;Radio La T¿tribu;Diego Perrota, Viviana Garófoli;1999;14 x 3;Fachada;Pintura Mural;Título desconocido;-58.4303;-34.6047
Querandíes 4288;Centro Cultural Impa;Marcelo Carpita;2002;;Acceso;Pintura Mural Con Aplicaciones De Aluminio;Impa, Industria Metalúrgica Plástica Argentina;-58.4266;-34.6116
Adolfo Alsina 380;San Francisco;Horacio Butler;1969;8 x 12;;Tapiz;Glorificación a San Francisco;-58.3718;-34.6102
Av. Santa Fe 4370;Parroquia Sagrada Eucaristía;Armando Sica;1955;1,85 x 4,50;Atrio;Fresco;Relatos bíblicos;-58.4235;-34.5804
Av. Santa Fe 4370;Parroquia Sagrada Eucaristía;Norah Borges;1950;1,85 x 4,50;Altar Mayor;Pintura Mural;Angeles;-58.4235;-34.5804
Brasil 315;Iglesia Ortodoxa Rusa;Esc. Nac. de Cerámica Fernando  Arranz;1990;2 x 3;Medianera Acceso;Mural Cerámico;Bautismo de Rusia, 988/1988;-58.37;-34.625
Dr. Felipe Aranguren 693;Parroquia El Buen Pastor;Gerardo Cianciolo;2000;8 x 13;S/altar Mayor;Pintura Mural Con Esmalte Sintético;Título desconocido;-58.4423;-34.614
Dr. Felipe Aranguren 693;Parroquia El Buen Pastor;Marcelo Carpita;2000;irregular;Nave ;Pintura Mural Con Esmalte Sintético;Vía Crucis;-58.4423;-34.614
Necochea 312;Ntra.Sra.Madre De Los Emigrantes;Benito Quinquela Martín;1967;3 x 4;Fachada;Mural Cerámico;La despedida;-58.3637;-34.6274
Necochea 312;Ntra.Sra.Madre De Los Emigrantes;Raúl Russo;1967;3 x 4;Acceso;Vitraux;Título desconocido;-58.3637;-34.6274
Necochea 312;Ntra.Sra.Madre De Los Emigrantes;Armando Sica;1967;3 x 4;Lateral Altar;Vitraux;Nuestra Señora Madre de los Emigrantes;-58.3637;-34.6274
Necochea 312;Ntra.Sra.Madre De Los Emigrantes;Juan Ballester Peña;1967;3 x 4;Frente Altar;Vitraux;Símbolos eucarísticos;-58.3637;-34.6274
Necochea 312;Ntra.Sra.Madre De Los Emigrantes;Gerardo Cianciolo;1995;3 x 4;Esterior Lateral;Pintura Mural;Los inmigrantes;-58.3637;-34.6274
Rivadavia 437;Catedral Metropolitana;Francisco Paolo Parisi;1901;;Nave Central;Pintura Mural Al Encausto ;San Simón;-58.3732;-34.6075
Rivadavia 437;Catedral Metropolitana;Francisco Paolo Parisi;1901;;Nave Central;Pintura Mural Al Encausto ;San Tadeo;-58.3732;-34.6075
Rogelio Yrurtia 5800;Iglesia San Juan El Precursor;Gastón Jarry;1945;;S/altar ;Fresco;San Juan el Precursor;-58.5024;-34.5632
Traful 3535;Nuestra Señora De La Divina Providencia;María Székely;1959;;Nave;Frescos (12);La almohada de los pobres;-58.4107;-34.6503
Venezuela 1536;Centro Cultural Betanzos;Juan Manuel Sánchez;2007;;Auditorio;Oleo Sobre Tela;Galicia;-58.388;-34.6148
Av. Pedro de Mendoza 2841;Barraca Merlo;Juan Carlos Victorica;c1924;3.60 x 4.80;Fachada;Mural Cerámico;El balcón;-58.3605;-34.6461
Av. Pedro de Mendoza 2841;Barraca Merlo;Benito Quinquela Martín;c1924;5.10 x 5.85;Fachada;Mural Cerámico;Embarque de granos;-58.3605;-34.6461
Av. Pedro de Mendoza 2841;Barraca Merlo;Fortunato Lacámera;c1924;4.80 x 5;Fachada;Mural Cerámico;Calle de La Boca;-58.3605;-34.6461
Andonaegui 1532;"Escuela N° 27, De15, ""petronila Rodríguez""";Chiesa - Castagna - Baldini;1935;;Salón De Actos;Fresco;Descubrimiento de América;-58.4821;-34.5851
Av. Las Heras 3086;Escuela Herrera Vegas;Gerardo Cianciolo;2004;;Hall Acceso;Pintura Mural;La educación es un derecho;-58.4053;-34.5838
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;"Aula ""e.J.Sarniguet""";Oleo S/ Tela;Regreso de la pesca;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;2.70 x 6.50;"Aula ""e.Sivori""";Oleo S/ Tela;La despedida;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;"Aula ""a.Alice""";Oleo S/ Tela;Cargadoras de naranjas en Corrientes;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6 x 2.70;"Aula ""l.C.Morales""";Oleo S/ Tela;Buzos en el fondo del mar;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6 x 2.70;"Aula ""f.Fader""";Oleo S/ Tela;Fogata de San Juan;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;5 x 2.60;"Aula ""j. Bermúdez""";Oleo S/ Tela;Inundación en La Boca;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 3.00;"Aula ""p.Colivadino""";Oleo S/ Tela;La Boca en el año 1860;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;"Aula ""p.Z.Briano""";Oleo S/ Tela;Bendición de las barcas;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;9 x 3.00;Patio Cubierto;Oleo S/ Tela;Carnaval en La Boca;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;4.50 x 5.00;Patio Del 1° Piso;Oleo S/ Tela;Embarque de cereales;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 3.00;"Aula ""mendilamarzu""";Oleo S/ Tela;Mascarones;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;"Aula ""t. De Libian""";Oleo S/ Tela;Cargadores de carbón;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;9 x 3.00;Patio Cubierto;Mural Cerámico;El desfile del circo;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;Patio Cubierto;Mural Cerámico;Saludo a la Bandera;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Hebe Salvat;1936;1.96 x 1.05;Patio Del 1° Piso;Mural Cerámico;El angel campesino;-58.3611;-34.6387
California 1925;Esc. Tte. Gral. Rosendo Fraga;Gerardo Cianciolo;2001;;Fachada;Pintura Mural;Título desconocido;-58.3758;-34.6469
General Urquiza 277;Esc. Normal Superior Nº2  Mariano Acosta;Nazareno Orlandi;1910;;Salón De Actos;Marouflage (oleo Sobre Tela Pegado Al Cielorraso) ;Título desconocido;-58.41;-34.6137
Juan Agustín García 2755;"Escuela Nº7, De 17, ""república De México""";Benito Quinquela Martín;1941;;Hall ;Oleo Y Cera En Chapas De Celotex;Trabajo ;-58.4806;-34.6092
Julian Alvarez 2849;"Escuela Nº12, De1, ""gral. Las Heras""";Del Piero - Cárdenas;1999;8.00 x 10.00;;Esgrafiado;Título desconocido;-58.411;-34.5844
Mercedes 4002;"Esc.Em 3, De17, ""antonio Devoto""";Rodolfo Campodónico;1967;7.50 x 3.60;Salón De Actos;Oleo Sobre Tela;Título desconocido;-58.5125;-34.6006
Olavarría 486;Colegio San Juan Evangelista;Domingo Ianantuoni;1969;;Fachada;Mural Cerámico;Humanización al trabajo. Cristo en La Boca. Dignificación de la vida;-58.3593;-34.637
Presidente Luis Sáenz Peña 1215;"Esc Nº11, De 3 ""dr. Ricardo Gutiérrez""";Gerardo Cianciolo;2003;;Fachada;Pintura Mural;Homenaje a la escuela pública;-58.3876;-34.6227
Yerbal 2370;"Escuela Nº1, De 12 ""gral. Urquiza""";Raúl Soldi;1975;2 x 3;Patio Cubierto;Mural Cerámico;Santa Ana y la Virgen Niña imaginando sus sueños;-58.4627;-34.6278
Zabala 1837;Universidad De Belgrano;Pérez Celis;1997;;Hall ;Mural En Madera Y Acero Inoxidable;El camino del conocimiento;-58.444;-34.564
Brandsen 805;Club Atlético Boca Juniors;Rómulo Maccio;1999;;Frente/s Del Valle Ibarlucea;Esmalte Sintético S/ Paneles Metálicos;Alegorías;-58.3649;-34.6357
Brandsen 805;Club Atlético Boca Juniors;Pérez Celis;1999;;Frente/s Del Valle Ibarlucea;Altorrelieve Con Mosaico Veneciano;Idolos;-58.3649;-34.6357
Brandsen 805;Club Atlético Boca Juniors;Pérez Celis;1999;;Frente/s Del Valle Ibarlucea;Altorrelieve Con Mosaico Veneciano;Mito y destino;-58.3649;-34.6357
Brandsen 805;Club Atlético Boca Juniors;Benito Quinquela Martín;1941;5 x 7;Hall De Entrada;Oleo S/ Aglomerado De Madera;El origen de los colores de la bandera de Boca;-58.3649;-34.6357
Brandsen 805;Club Atlético Boca Juniors;Gerardo Cianciolo / Marcelo Carpita;1994;;Frente S/brandsen;Pintura Mural;Dale Boca;-58.3649;-34.6357
Av. Figueroa Alcorta 7597;Club River Plate;Benito Quinquela Martín;1937;;Confitería Del Estadio;Oleo Sobre Madera;El campeón;-58.4494;-34.5467
Av. Figueroa Alcorta 7597;Club River Plate;Benito Quinquela Martín;1937;;Confitería Del Estadio;Oleo Sobre Madera;La primera cancha de River;-58.4494;-34.5467
Av. Alvarez Jonte 4767;Galeria Jonte;Juan Manuel Sánchez;1965;;Aceso;Pintura Mural;La familia;-58.5058;-34.6193
Av. Cabildo 2869;Cine Arteplex Belgrano, Ex Cine Savoy;Roberto Del Villano;1991;;Primer Piso;Pintura Mural;Homenaje al cine;-58.4618;-34.5556
Av. Corrientes 1145;Galería Del Obelisco;Juan Carlos Castagnino;1961;4 x 5;Acceso Por Av. Corrientes;Pintura Mural Al Óleo;Despertar en la llanura;-58.3829;-34.6035
Av. Corrientes 1369;Pizzería Los Inmortales;Carlos Leonetti;1955;;Salón;Pintura Mural;Gardel en la calle Corrientes;-58.3861;-34.6036
Av. Corrientes 1551;Librería Losada;Juan Carlos Castagnino;1941;3 x 6;Salón ;Fresco;Homenaje al cine;-58.3887;-34.6042
Av. Corrientes 1551;Librería Losada;César López Claro;1941;3 x 6;Salón;Fresco;Las artes;-58.3887;-34.6042
Av. La Plata 2428;Banco Credicoop;Demetrio Urruchúa;1965;;Salón De Entrada;Fresco;Título desconocido;-58.4223;-34.6431
Av. Rivadavia 4975;Galería París;Juan Carlos Castagnino;1959;5,50 x 6;Acceso Av. Rivadavia;Pintura Mural;Hombre - Espacio - Esperanza;-58.4362;-34.6174
Av. Rivadavia 4955;Galería Rivadavia;Anatolio Sokoloff;1956;;Bajo Claraboya Central;Oleo Sobre Tela;El puerto / El descubrimiento de América / La vida urbana;-58.4353;-34.6177
Av. Rivadavia 6836;Galería San José De Flores;Juan Carlos Castagnino;1956;;Cúpula;Fresco;La Fraternidad;-58.4615;-34.6292
Av. Rivadavia 6836;Galería San José De Flores;Juan Carlos Castagnino;1956;;Cúpula;Fresco;La Fertilidad;-58.4615;-34.6292
Av. Rivadavia 6836;Galería San José De Flores;Enrique Policastro;1956;;Cúpula;Fresco;La Pachamama;-58.4615;-34.6292
Av. Rivadavia 6836;Galería San José De Flores;Demetrio Urruchúa;1956;;Cúpula;Fresco;¡Oh, San José de Flores...;-58.4615;-34.6292
Av. Santa Fe 1660;Galería Santa Fe;Raúl Soldi;1954;18 x 19;Cúpula;Fresco;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Luis Seoane;1954;;Bóveda Calle Lateral;Fresco;Los Músicos;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Gertrudis Chale;1954;;Sector M.T. De Alvear;Fresco;El indio;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Noemí Gerstein;1954;;Acceso Av. Santa Fe;Hierro Forjado;Los obreros;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Rodolfo Presas, Leopoldo Torres Agüero;1954;;Bóveda Posterior;Fresco;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Lepoldo Torres Agüero ;1954;;Sector M.T. De Alvear;Mosaico Veneciano;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Leopoldo Torres Agüero;1954;;Acceso M.T. De Alvear;Fresco;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Juan Batlle Planas;1954;;Acceso Av. Santa Fe;Fresco;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1662;Galería Santa Fe;Raúl Soldi;c1950;;Local 3;Fresco;Los amantes;-58.3909;-34.5965
Av. Santa Fe 1860;Librería El Ateneo, Ex Cine Grand Splendid;Nazareno Orlandi;1919;;Salón Central;Marouflage (oleo Sobre Tela Pegado Al Cielorraso);Título desconocido;-58.3942;-34.5962
Florida 1005;Plaza Hotel;Jorge Soto Acébal, Mercedes Rodrigué;1930;;Resaurant La Brasserie;Fresco;Escenas del 900;-58.3748;-34.5959
Florida 753;Galerías Pacífico;Manuel Colmeiro;1946;;Cúpula;Fresco;La pareja humana o El amor maternal;-58.3754;-34.5993
