domicilio;caract_sitio;autores;f_e;tamaÑo_mts;ubicacion;tecnica;nombre_obra;lon;lat
Estación Mariano Moreno;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,30;andén este;Mural cerámico;Paisajes de España: Santiago, Lugo, Asturias y Santander;;
Estación Retiro;Línea C;Fernando Allievi;1999;;andén oeste;Mural cerámico;Las Máscaras;;
Estación Retiro;Línea C;Fernando Allievi;1999;;andén oeste;Mural cerámico;Las primeras luces;;
Estación Retiro;Línea C;Fernando Allievi;1999;;andén oeste;Mural cerámico;Historia del sábado;;
Estación San Juan ;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,10;andén oeste;Mural cerámico;Paisajes de España: Levante, Albacete, Murcia y Valencia;;
Estación San Juan ;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,10;andén este;Mural cerámico;Paisajes de España:Zamora, Salamanca, León;;
Estación San Martín;Línea C;Rodolfo Rolando Medina;1969;1,00 x 6,00;acceso ;Cemento policromado;La gesta sanmartiniana;;
Estación San Martín;Línea C;Rodolfo Rolando Medina;1969;1,00 x 6,00;acceso ;Cemento policromado;La gesta sanmartiniana;;
Estación San Martín;Línea C;Luis Fernando Benedit;2000;;andén oeste;Mural cerámico;El sur;;
Estación San Juan ;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,10;andén oeste;Mural cerámico;Paisajes de España: Levante, Albacete, Murcia y Valencia;;
Estación San Juan ;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,10;andén este;Mural cerámico;Paisajes de España:Zamora, Salamanca, León;;
Estación San Martín;Línea C;Rodolfo Medina;1969;1,00 x 6,00;acceso ;Cemento policromado;La gesta sanmartiniana;;
Estación San Martín;Línea C;Rodolfo Medina;1969;1,00 x 6,00;acceso ;Cemento policromado;La gesta sanmartiniana;;
Estación San Martín;Línea C;Luis Fernando Benedit;2000;;andén oeste;Mural cerámico;El sur;;
Estación  Agüero;Línea D;Rodolfo Franco;1938;15.50 x 1.80;andén norte;Mural cerámico;Camino a Córdoba del Tucumán;;
Estación  Agüero;Línea D;Rodolfo Franco;1938;15.50 x 1.80;andén sur;Mural cerámico;Los colonizadores;;
Estación 9 de Julio;Línea D;Alfredo Guido;1936;1,80 x 15;andén sur;Mural cerámico;La llegada de las carretas,Flores,la quinta y el rancho en 1835, Luján, los cereales y el Río de la Plata en 1936;;
Estación Bulnes;Línea D;Alfredo Guido;1938;1,80 x 15,50;andén sur;Mural cerámico;Las leyendas del país de la selva;;
Estación Bulnes;Línea D;Alfredo Guido;1938;1,80 x 15,50;andén norte;Mural cerámico;Arqueología diaguita. Los valles. Tucumán: la zafra y los ingenios;;
Estación Catedral;Línea D;Rodolfo Franco, Alfredo Guido;1936;;andén sur;Mural cerámico;Tertulia en la Alameda, Buenos Aires en 1830;;
Estación Catedral;Línea D;Rodolfo Franco, Alfredo Guido;1936;;andén norte;Mural cerámico; Buenos Aires en 1936;;
Estación Facultad de Medicina;Línea D;Alfredo Guido;1938;;andén norte;Mural cerámico;Santa Fe 1938: Puente Setúbal, Rio Paraná, Rosario 1938;;
Estación Facultad de Medicina;Línea D;Alfredo Guido;1938;1,80 x 15,5;andén sur;Mural cerámico;Rosario 1836: la posta, la chacra, Santa Fe 1836;;
Estación José Hernández;Línea D;Raúl Soldi;1997;5.22 x 2.72;andén sur;Mural cerámico;En el jardín;;
Estación José Hernández;Línea D;Raúl Soldi;1997;5.22 x 2.72;andén sur;Mural cerámico;Los amantes;;
Estación José Hernández;Línea D;Raúl Soldi;1991;5.22 x 2.72;andén norte;Mural cerámico;El ensayo;;
Estación José Hernández;Línea D;Raúl Soldi;1991;5.22 x 2.72;andén norte;Mural cerámico;La Música;;
Estación Juramento;Línea D;Prilidiano Pueyrredón;1861;2.00 x 1.80;vestíbulo;Mural cerámico;Lavanderas del Bajo Belgrano;;
Estación Juramento;Línea D;Jorge F. Schwarz;1998;4 x 2.50;andén sur;Mural cerámico;Crucero ARA, Gral. Belgrano;;
Estación Juramento;Línea D;Prilidiano Pueyrredón;1865;4.00 x 2.00;vestíbulo;Mural cerámico;Un alto en el camino;;
Estación Juramento;Línea D;Antonio J. Spotorno;1949;4.00 x 2.00;vestíbulo;Mural cerámico;Litografías de Belgrano;;
Estación Palermo;Línea D;Rafael Cuenca Muñoz;1934;2,20 x 3,60;vestíbulo;Mural cerámico;Almería, España: La espera;;
Estación Plaza Italia;Línea D;Benito Quinquela Martín;1939;4,23 x 6,35;piso andén este;Cemento policromado;La descarga de los convoyes;;
Estación Plaza Italia;Línea D;Léonie Matthis de Villar;1937;2,15 x 3,60;andén oeste;Mural cerámico;La visita del gobernador;;
Estación Plaza Italia;Línea D;Léonie Matthis de Villar;1937;2,15 x 3,60;andén este;Mural cerámico;Casamientos colectivos en la Misión San Ignacio Miní;;
Estación Scalabrini Ortiz;Línea D;Rodolfo Franco;1938;1,80 x 15,50;andén norte;Mural cerámico;Tareas campesinas;;
Estación Scalabrini Ortiz;Línea D;Rodolfo Franco;1938;1,80 x 15,5;andén sur;Mural cerámico;Evocaciones de Salta;;
Estación Tribunales;Línea D;Rodolfo Franco;1937;2,70 x 10,30;subida lado oeste;Mural cerámico del tímpano;Garay y Mendoza;;
Estación Tribunales;Línea D;Rodolfo Franco;1937;2,70 x 10,30;subida lado este;Mural cerámico del tímpano;América y España;;
Estación Olleros;Línea D;Josefina Robirosa;2004;;;Mural Cerámico;Plaza de verano;;
Estación Olleros;Línea D;Josefina Robirosa;2004;;;Mural Cerámico;Plaza de invierno;;
Estación  Urquiza;Línea E;Léonie Matthis de Villar;1938;1,80 x 15,50;andén norte;Mural cerámico;La batalla de Caseros;;
Estación  Urquiza;Línea E;Léonie Matthis de Villar;1938;!,80 x 15,50;andén sur;Mural cerámico;La entrada triunfal del Gral. Urquiza en Buenos Aires;;
Estación Boedo;Línea E;Primaldo Mónaco;1959;11.10 x 3.90;tímpano este;Mural cerámico del tímpano;Niños jugando;;
Estación Boedo;Línea E;Alfredo Guido;1959;12.30 x 3.75;tímpano oeste;Mural cerámico;Boedo a mediados del siglo XIX;;
Estación Entre Ríos;Línea E;Antonio Ortiz Echagüe;1939;15.50 x 1.80;andén norte;Mural cerámico;La conquista del desierto;;
Estación Entre Ríos;Línea E;Antonio Ortiz Echagüe;1939;15.50 x 1.80;andén sur;Mural cerámico;Fundación de pueblos en la pampa;;
Estación Jujuy;Línea E;Alejandro Sirio;1939;15.50 x 1.80;andén norte;Mural cerámico;Jujuy: las riquezas naturales;;
Estación Jujuy;Línea E;Alejandro Sirio;1939;15.50 x 1.81;andén sur;Mural cerámico;Jujuy: los gauchos norteños;;
Estación San José;Línea E;Otto Durá;1939;1,80 x 15,50;andén sur;Mural cerámico;Los lagos del sur;;
Estación San José;Línea E;Otto Durá;1939;15.50 x 1.80;andén norte;Mural cerámico;Las Cataratas del Iguazú;;
Estación Medalla Milagrosa;Línea E;Santiago García Sáenz;2001;;;Mural cerámico;;;
Estación Medalla Milagrosa;Línea E;Santiago García Sáenz;2001;;;Mural cerámico;;;
Av. Pedro de Mendoza 1821;Teatro De La Ribera;Benito Quinquela Martín;1968;4 x 4;Hall Primer Piso;Oleo S/ Harboard;Crepúsculo;-58.3609;-34.6387
Av. Coronel Roca  y A. J. Luppi;;Contraluz Mural (ex Taller Muralista UTE);1998;;fachada;Pintura mural;Homenaje a los trabajadores de la educación;;
Calle Lanín;Entre Av.Suárez Y Vías Del Roca;Marino Santa María;2000;;fachadas;Pintura mural;Proyecto Lanín;;
