objectid;zona;empresa;comunas;area;st_asgeojson
2;ZONA 3;SOLBAYRES (ex INTEGRA);11, 12 y 15;44036047.7669;"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.4296543663255,-34.5995289998396],[-58.4296734052553,-34.5995329411387],[-58.4297852639868,-34.599604139969],[-58.4299114440892,-34.5997346497155],[-58.4300261554738,-34.599848550251],[-58.4302154153494,-34.6000739680204],[-58.4303430302195,-34.6002072453606],[-58.4308362711118,-34.600764071728],[-58.4311268641584,-34.6010962673542],[-58.4315245199952,-34.601555011599],[-58.4317960061063,-34.601849244131],[-58.4319120366409,-34.6019666027736],[-58.4320862466425,-34.6021854899812],[-58.4322691060677,-34.6022905093713],[-58.4327725227232,-34.6025432823187],[-58.4331274966599,-34.6027248487233],[-58.4338021922423,-34.6030647414463],[-58.4343911987893,-34.6033527168271],[-58.4350148429255,-34.6036630142706],[-58.4352364649889,-34.6037767583241],[-58.4361161653986,-34.6042102905857],[-58.4366937255784,-34.6044539696535],[-58.4369691184468,-34.6045742238131],[-58.4376959592351,-34.6049374333628],[-58.4379304651991,-34.6050762598556],[-58.4388075212833,-34.605572561807],[-58.4394915788289,-34.6058733675767],[-58.4414230903463,-34.6063775825705],[-58.4431821598988,-34.6068532178494],[-58.4450102442755,-34.6073709277903],[-58.4450460658747,-34.6073810725496],[-58.4461714660581,-34.6076997653396],[-58.446861369306,-34.6076238026434],[-58.4480382316032,-34.6073328055747],[-58.4487965775894,-34.6071441411863],[-58.4490921057895,-34.6070570811483],[-58.4491854985138,-34.6070295684983],[-58.4498754001003,-34.6068412776828],[-58.4502453443292,-34.6067648485918],[-58.450289240845,-34.6067557786733],[-58.4556980444329,-34.605375938988],[-58.4583516398302,-34.6047008824818],[-58.4624638244307,-34.6074210844485],[-58.4613029355725,-34.6097923807019],[-58.4592704342169,-34.6138180636583],[-58.4592706325291,-34.6138181390407],[-58.4593496057537,-34.6140873911504],[-58.459670077887,-34.6142074170583],[-58.4596964589073,-34.6142172997787],[-58.4627328554949,-34.6153245475169],[-58.4628151884678,-34.6153544065914],[-58.4644494510764,-34.6159720487926],[-58.4672850853789,-34.6172354395252],[-58.4689100335311,-34.6179074744315],[-58.4697028715038,-34.6183105212388],[-58.470410762587,-34.618705340092],[-58.4704541784602,-34.6187295552938],[-58.4731379569352,-34.6202263317615],[-58.4765064687394,-34.6219628517282],[-58.4773781914279,-34.6223827997379],[-58.4773972692087,-34.6223919917516],[-58.4775842705527,-34.6224820750832],[-58.47772881138,-34.6225516972076],[-58.4802543746251,-34.6238104169169],[-58.4825144255406,-34.624766804742],[-58.4825197865863,-34.6247689331253],[-58.4826211865563,-34.6248092123323],[-58.482659719007,-34.6248243952641],[-58.4826619069589,-34.6248252548607],[-58.4826633986539,-34.6248258427749],[-58.4826634465467,-34.6248257233748],[-58.4828863973437,-34.6246898650182],[-58.4832923301568,-34.6243494537363],[-58.4834874093892,-34.6241742182186],[-58.4850110477916,-34.62295587562],[-58.4876108891648,-34.6208918759228],[-58.4890032527192,-34.6197986542503],[-58.4891306148557,-34.6197000036555],[-58.4903989331642,-34.6186748226778],[-58.4943793696517,-34.6155910487163],[-58.4957896217817,-34.614379624698],[-58.4958165183555,-34.6143462458224],[-58.4974293437113,-34.6125576001512],[-58.4974294288495,-34.6125574972404],[-58.4980906298781,-34.6116684771069],[-58.4980907150149,-34.6116683747457],[-58.5002206464896,-34.6093034898081],[-58.5006368622116,-34.6095401628199],[-58.5030308860721,-34.6109669840107],[-58.5030391049319,-34.6109718796895],[-58.5077607004178,-34.6137724198733],[-58.5100359088921,-34.6150870813836],[-58.5106058196993,-34.6154497504062],[-58.5121052197347,-34.6163321399452],[-58.5127020022459,-34.616678473809],[-58.5127151326734,-34.6166860930369],[-58.5127981194557,-34.6167342500659],[-58.5134630313638,-34.6172834026728],[-58.5141186323407,-34.6178944596692],[-58.5147481978104,-34.6184343938248],[-58.5147496813933,-34.6184356674444],[-58.5148491307785,-34.6185209569787],[-58.5154860002404,-34.6190855868151],[-58.5162165631221,-34.6197739831996],[-58.5168301545609,-34.6203063411007],[-58.517078200985,-34.6203297994965],[-58.5170783014344,-34.6203297273762],[-58.5170817167224,-34.6203272884888],[-58.5170824471386,-34.6203267583252],[-58.5174503728836,-34.6200586871812],[-58.517452423762,-34.6200572062355],[-58.518140067383,-34.6195598041371],[-58.5181447032506,-34.6195564463891],[-58.5181446619733,-34.6195564249502],[-58.5181447817129,-34.6195563401657],[-58.5181446072821,-34.6195562483624],[-58.5215032922883,-34.6169238299005],[-58.5240291456816,-34.6149957302835],[-58.5251703697589,-34.6140510687472],[-58.5252172044046,-34.6140974686246],[-58.5258759874236,-34.6136033076358],[-58.5258761071425,-34.6136032173417],[-58.529384440103,-34.6110992220313],[-58.529428740135,-34.6110676022534],[-58.5295173281261,-34.611004370358],[-58.5295173107923,-34.6110043307534],[-58.5294688864708,-34.6108957205071],[-58.5293857458136,-34.6107189681822],[-58.5278194965841,-34.6073891002183],[-58.5262274228565,-34.6040040351263],[-58.5235089494915,-34.5982233284634],[-58.5233743893361,-34.5979371751495],[-58.5156582992273,-34.5815244155681],[-58.5155784573632,-34.5813569130167],[-58.5155361711877,-34.5812682002259],[-58.5153966331719,-34.5809754546674],[-58.5138241968126,-34.5776763933201],[-58.5127112391121,-34.5753411652743],[-58.5110524352682,-34.5718603793987],[-58.5103343961177,-34.5703535668142],[-58.510318289441,-34.5703192224764],[-58.5103181715712,-34.5703189771333],[-58.5102949485773,-34.5702694682111],[-58.509921114808,-34.5693746506807],[-58.5098792492721,-34.5692744402619],[-58.5098753709639,-34.5692651571381],[-58.5098120831072,-34.569130963073],[-58.5093969555848,-34.5682507201872],[-58.5079976447524,-34.5652834543979],[-58.5063655060896,-34.56182218827],[-58.5057868223879,-34.5605949056921],[-58.5049050807598,-34.558724816729],[-58.5020011075426,-34.5525651094115],[-58.5013933630292,-34.5512758816676],[-58.5007357902289,-34.5498809008925],[-58.5006719886119,-34.5497455485888],[-58.500551215197,-34.5494893269145],[-58.4974632900141,-34.548126619066],[-58.4954202155439,-34.5472249378916],[-58.494851442594,-34.5469739086065],[-58.4946962485025,-34.5469054156708],[-58.4941100233364,-34.5466466802608],[-58.4934802750632,-34.5463687267457],[-58.49304954318,-34.5461786121329],[-58.4928706654782,-34.5460996573594],[-58.4925030929386,-34.5459374215303],[-58.4904662816679,-34.5450383702822],[-58.4877004160857,-34.543817434924],[-58.487153833102,-34.5435761427308],[-58.486599874989,-34.543331594528],[-58.4865819709317,-34.5433236905241],[-58.4860568720981,-34.5430918774345],[-58.4836493376013,-34.5420289876805],[-58.4812443200374,-34.5409671343313],[-58.4808622736605,-34.5407984490514],[-58.480743845987,-34.5407461594071],[-58.4795082916743,-34.5402006057987],[-58.4792652876669,-34.540093308242],[-58.4786035148204,-34.5398010934021],[-58.4781201007225,-34.5395876322292],[-58.4778484496417,-34.5394676774946],[-58.4774684915935,-34.5392998984824],[-58.4763656044522,-34.5388128824066],[-58.476365489446,-34.5388130034641],[-58.4754861336427,-34.5397419364716],[-58.4749655600069,-34.5402526103086],[-58.4740452303039,-34.5415971839649],[-58.474020747763,-34.5416329504946],[-58.4740208588075,-34.5416329807455],[-58.4740191988242,-34.5416352185726],[-58.4717444649854,-34.5447026797583],[-58.47124676936,-34.5454338032619],[-58.4685007787026,-34.548955083549],[-58.4685007594203,-34.5489551105099],[-58.468488102828,-34.548971340962],[-58.4684843640293,-34.5489761366977],[-58.4684847470674,-34.5489763529088],[-58.4687859965199,-34.5491460958627],[-58.4687860683398,-34.5491461354736],[-58.4698225809418,-34.5497301581467],[-58.4698228356402,-34.5497303022847],[-58.4718829163181,-34.5508910093042],[-58.4718830559738,-34.5508910885227],[-58.4719256390076,-34.5509150801539],[-58.471929834002,-34.5509174457036],[-58.472921577032,-34.5514761954242],[-58.4734641784589,-34.551767530016],[-58.4734704158597,-34.5517708774422],[-58.4734864938452,-34.5517795097848],[-58.4738898384937,-34.5519960702076],[-58.47450604815,-34.5523269165472],[-58.4745072006734,-34.5523275024002],[-58.4745336783713,-34.5524789273791],[-58.4737011462358,-34.5535927861536],[-58.4736983949185,-34.5535964628468],[-58.471652146008,-34.5563340208259],[-58.4690638132774,-34.5592863497008],[-58.4690231368358,-34.5593327425471],[-58.4686768605737,-34.5597276935783],[-58.4672276237733,-34.5612766688832],[-58.4672932676865,-34.5613063959729],[-58.467293200519,-34.5613064774051],[-58.4678296367593,-34.561625448065],[-58.4678295163844,-34.5616254981383],[-58.467864162889,-34.5617913056835],[-58.467864825325,-34.5617916858441],[-58.4675187269407,-34.5619445605761],[-58.4668376555181,-34.5622453917673],[-58.4668380831754,-34.5622456586],[-58.4668382441289,-34.5622457598315],[-58.4668683351195,-34.5622645844702],[-58.4669725273492,-34.5623297664293],[-58.4672307577838,-34.5625314848474],[-58.4672731887813,-34.5625614224273],[-58.4673319461456,-34.5626028778222],[-58.4673321090964,-34.5626029933581],[-58.4673322095273,-34.5626030637799],[-58.4673428432311,-34.5626105670108],[-58.4673429649455,-34.5626106550383],[-58.4673483483128,-34.5626145276949],[-58.4673851931996,-34.5626410448515],[-58.4676725092267,-34.5628478131461],[-58.4677615185205,-34.5628941710333],[-58.4678274507329,-34.5629378019326],[-58.4683199128193,-34.5632768710144],[-58.46839777793,-34.5633304816895],[-58.4693043773063,-34.5639113117716],[-58.4693249122996,-34.5639241165735],[-58.4703758236289,-34.5645793915393],[-58.4705109921325,-34.5646639245499],[-58.4706568442428,-34.5647612785824],[-58.4706989109543,-34.5647893580583],[-58.4707417690815,-34.5648166275725],[-58.4707978155742,-34.5648520760257],[-58.4708105768921,-34.5648599463443],[-58.4715494882981,-34.565315634731],[-58.4715499352761,-34.5653159197024],[-58.4715524701486,-34.5653175547138],[-58.4715745836058,-34.5653318104481],[-58.4724165701123,-34.5658746256267],[-58.4724399262436,-34.5658885581366],[-58.4734902598032,-34.5665151346416],[-58.4735062444876,-34.5667420368752],[-58.4735063775203,-34.5667421160923],[-58.4733395002211,-34.5669145579739],[-58.4733400103765,-34.5669146624675],[-58.4710469063377,-34.5697104142107],[-58.4710379713092,-34.5697211453697],[-58.4683677766227,-34.5729275534337],[-58.4683636097258,-34.5729325604434],[-58.468287565438,-34.5730265110786],[-58.4682175998019,-34.5730887176256],[-58.4682175233127,-34.573088786404],[-58.4681751456048,-34.5731264687304],[-58.4681750977158,-34.5731265099975],[-58.4679626554834,-34.5729818553645],[-58.467400311532,-34.5727076203166],[-58.467056795168,-34.5729378910461],[-58.4670367126451,-34.5729513556955],[-58.4668395506532,-34.5730835204824],[-58.4657226518609,-34.5737586992697],[-58.4637035953205,-34.5750261071343],[-58.4631280295899,-34.5756027029566],[-58.463090641838,-34.5756401546019],[-58.4609766783229,-34.5777578044338],[-58.460977188529,-34.5777579144809],[-58.4604946762441,-34.5782947288627],[-58.4600650412519,-34.5784703890147],[-58.4600644658269,-34.5784710921567],[-58.4600631799399,-34.5784725033896],[-58.4596939045728,-34.5784847059722],[-58.4579181584183,-34.5786030956306],[-58.4577731287659,-34.5786476339803],[-58.4577533843974,-34.5786536980262],[-58.4571718153849,-34.5787908679614],[-58.4571369565995,-34.5787990913034],[-58.4571206926382,-34.5788033667082],[-58.4571102932545,-34.578806101272],[-58.4570734327459,-34.5788157940859],[-58.4570723364631,-34.5788160823396],[-58.4569170301018,-34.5788569196578],[-58.456910035305,-34.578858759742],[-58.4566571527393,-34.5789252544459],[-58.4566515941451,-34.5789267165997],[-58.4566470147575,-34.5789279207584],[-58.4561563236919,-34.5790569479259],[-58.4561487966732,-34.5790590443307],[-58.4557744968146,-34.5791633050912],[-58.4550688722455,-34.5793585302985],[-58.4525702098968,-34.5801631256474],[-58.4525444915408,-34.580171234543],[-58.4511036961625,-34.5806254906863],[-58.4495003368194,-34.5812578832068],[-58.4495003042212,-34.5812578958578],[-58.4494579717976,-34.5812745931083],[-58.4486801422235,-34.5816024489472],[-58.4486480485599,-34.5816159773961],[-58.4483170773887,-34.5816717526596],[-58.4446318323184,-34.5833032853105],[-58.4449840107527,-34.5844308627843],[-58.4448530990412,-34.5847446169847],[-58.4448531382662,-34.5847447341828],[-58.4448158766515,-34.5847695041677],[-58.4447488345118,-34.5848143211993],[-58.4436374692439,-34.5855529157291],[-58.4436332980827,-34.5855556897283],[-58.4371492561439,-34.5898644098282],[-58.4371497204572,-34.5898646173501],[-58.4371499945224,-34.5898647379008],[-58.4371498401427,-34.589864839105],[-58.4362188541446,-34.590456772005],[-58.4355025711773,-34.590942240663],[-58.4346000327196,-34.5915698021068],[-58.4336688484556,-34.5921736579273],[-58.4324797661205,-34.5929669575078],[-58.4313192992754,-34.5937839387648],[-58.4302734573632,-34.5944469643787],[-58.4292910514059,-34.5950519789027],[-58.4292909209671,-34.5950520602962],[-58.4292792846671,-34.5950592267344],[-58.4281387491645,-34.5957729719064],[-58.4273537112191,-34.5962171872112],[-58.4272458851107,-34.5962781997886],[-58.4268206711912,-34.596518802842],[-58.4263703459461,-34.5966673588065],[-58.4242276107402,-34.5975958682295],[-58.4233957384193,-34.5977537705447],[-58.4233672212308,-34.5977478946021],[-58.423369077589,-34.5977591742453],[-58.4233690862166,-34.5977592210149],[-58.4233762847779,-34.5978029040494],[-58.4233763823147,-34.597803479037],[-58.4233783109992,-34.5978151840059],[-58.4233784370599,-34.5978159427685],[-58.4233785477892,-34.5978167614978],[-58.4233789547822,-34.5978186130429],[-58.423379317948,-34.597820280808],[-58.423383270672,-34.5978390162998],[-58.4233861399507,-34.5978526142502],[-58.4233908408604,-34.5978749119601],[-58.4233908674118,-34.5978750456666],[-58.4233911147995,-34.5978767260488],[-58.4233912255606,-34.597877477654],[-58.4234060391262,-34.5979778224561],[-58.4234062739025,-34.5979794395615],[-58.4249481567444,-34.5980519603565],[-58.4264898308586,-34.5980290370395],[-58.4278049820594,-34.5985323302333],[-58.4281162614458,-34.59864758724],[-58.4287001749534,-34.5988991634084],[-58.4291080542021,-34.5990748938234],[-58.4292615271048,-34.5991876939408],[-58.4296543663255,-34.5995289998396]]]]}"
3;ZONA 4;ECOHÁBITAD (ex NITTIDA);9 y 10;29325074.2562;"{""type"":""MultiPolygon"",""coordinates"":[[[[-58.4597508450217,-34.6568396367981],[-58.460271637439,-34.6572532343314],[-58.4603351268811,-34.6572532355794],[-58.4603986169677,-34.6572299200991],[-58.4605255949029,-34.6572648974723],[-58.4608571447313,-34.657544703269],[-58.4615131965361,-34.6581101412237],[-58.4619999507497,-34.6584890412211],[-58.4625925270553,-34.6589670353183],[-58.4630087452693,-34.6592584935752],[-58.4636577697885,-34.659753969793],[-58.4643068025962,-34.6602785883701],[-58.4646313104372,-34.6600395876505],[-58.4653014820773,-34.6594916330834],[-58.4676223318703,-34.6577253222141],[-58.4692731748745,-34.6590950999704],[-58.4692773271395,-34.6591259607998],[-58.4695221509283,-34.6593147469335],[-58.469995126612,-34.659010731918],[-58.470033368965,-34.658996577138],[-58.4701305198188,-34.6591850125722],[-58.4703508796227,-34.6597078654046],[-58.470519840853,-34.6600382085549],[-58.4707394999619,-34.6605453572171],[-58.4710464673197,-34.6612874694513],[-58.4714144531118,-34.6621125526526],[-58.4716397518523,-34.6625964347695],[-58.4718921466206,-34.6632613124206],[-58.4721105092511,-34.6633167691901],[-58.4730668872536,-34.6626722496089],[-58.4730669085683,-34.6626723035259],[-58.4730669285496,-34.662672343138],[-58.4732022649039,-34.6625933680718],[-58.4732206044721,-34.6625826702177],[-58.4732194983092,-34.6625815539746],[-58.473219470339,-34.6625815270177],[-58.4735560793763,-34.6622868875609],[-58.4739531846931,-34.661939285655],[-58.4739661703209,-34.6619279207993],[-58.4739836953193,-34.661912577087],[-58.4739844636443,-34.6619119063324],[-58.4744497386494,-34.6614530284622],[-58.4749872094412,-34.6610341514643],[-58.4755990117302,-34.6605474707092],[-58.4787697965899,-34.6580798706296],[-58.4803904392208,-34.6591304010162],[-58.4803904745155,-34.6591304230188],[-58.4804827773589,-34.6591902556047],[-58.4804828146515,-34.6591902792575],[-58.4847223615184,-34.6619382017646],[-58.4847223941524,-34.661938225417],[-58.4851447057953,-34.6622334653616],[-58.4851447450813,-34.6622334631536],[-58.4851447777092,-34.6622334631476],[-58.4851668785913,-34.6622329055844],[-58.4851893523602,-34.6622323391453],[-58.4853970756156,-34.6622266754945],[-58.4854041901433,-34.6622254356887],[-58.4860626709871,-34.662694642794],[-58.4860627189363,-34.6626946642423],[-58.4867740532146,-34.6629093756288],[-58.4871476850603,-34.6630230962781],[-58.4879169133078,-34.6632572204718],[-58.4879618465454,-34.6632708988322],[-58.4885793086147,-34.6634588225556],[-58.4887322840831,-34.6634777490341],[-58.4887323147234,-34.6634777798383],[-58.489727026254,-34.6643033450587],[-58.4898389510261,-34.6644029444389],[-58.4899589037409,-34.6645096872545],[-58.4908881649039,-34.6653951865012],[-58.490888195545,-34.665395215104],[-58.4915483305207,-34.6660372367002],[-58.4915483565014,-34.6660372669546],[-58.4918067983918,-34.6663195081627],[-58.4918123127087,-34.6663195068461],[-58.4921798966745,-34.6666910661991],[-58.4924619245772,-34.666976276516],[-58.4927408046349,-34.6673112144426],[-58.4929689668784,-34.6675467093196],[-58.4934872236135,-34.6681252311738],[-58.4937801790599,-34.6684291440047],[-58.4940956654524,-34.6687392541347],[-58.4954149197352,-34.6700548922523],[-58.4957247725009,-34.670329327641],[-58.4963388467597,-34.6708642389829],[-58.4969416500028,-34.6713619274498],[-58.4973585248651,-34.6716549399651],[-58.4976796399725,-34.6718967970736],[-58.4979894774666,-34.6721014336972],[-58.4985528423171,-34.6725200268565],[-58.4987950854957,-34.6726874583808],[-58.4991218141857,-34.6728688227898],[-58.4996738681858,-34.6731571339866],[-58.5002766155267,-34.6734500799137],[-58.5007498236312,-34.6737244519049],[-58.5013187913444,-34.6740267089085],[-58.5018427050433,-34.6743243248551],[-58.5023767686235,-34.674620966161],[-58.5024862931582,-34.6745384201329],[-58.5025259049079,-34.6745085643218],[-58.5026160188534,-34.6744402985864],[-58.5082751495052,-34.6701529811319],[-58.5086796630935,-34.6698464951195],[-58.5087437032021,-34.6697979776836],[-58.5087443448936,-34.6697974905224],[-58.5089234598913,-34.6696617787026],[-58.5119878114062,-34.667339909977],[-58.5119878413596,-34.6673398885074],[-58.5122191745008,-34.6671645974412],[-58.5132468295883,-34.6663858858945],[-58.5180321843503,-34.6627594562193],[-58.5183426014158,-34.6625241978016],[-58.5183666952615,-34.6625059325525],[-58.5183889089572,-34.6624891036068],[-58.5187580121816,-34.6622093656855],[-58.5199166651893,-34.6613312203229],[-58.5230443981015,-34.6589605636651],[-58.5230446363446,-34.6589603836345],[-58.5247736114003,-34.6576498199115],[-58.5247736566519,-34.6576497857766],[-58.5257731885026,-34.656892110885],[-58.5257736223749,-34.6568917810956],[-58.5258824507741,-34.6568096416214],[-58.5287925148138,-34.6546131278017],[-58.529152252011,-34.6543415857892],[-58.529169583948,-34.6543285054283],[-58.5292086288592,-34.6542990345544],[-58.5292086548083,-34.6542990125326],[-58.5292096559478,-34.6542820418607],[-58.529210721446,-34.6542639564645],[-58.5292132807857,-34.6542205707688],[-58.529410092072,-34.6508844758196],[-58.5294156517639,-34.6507902385692],[-58.5298518027533,-34.6433961505726],[-58.5300821494226,-34.6394905849267],[-58.5300854978523,-34.6394337943089],[-58.5300998929931,-34.6391896847686],[-58.5302706637454,-34.6362939356056],[-58.5302913996086,-34.6359423348995],[-58.5302981130346,-34.6358285390012],[-58.5303068376117,-34.6356805380879],[-58.5303189596046,-34.6354750141745],[-58.5303305745608,-34.6352780042334],[-58.5303559869855,-34.6348470810653],[-58.5303590375875,-34.6347953171334],[-58.5303740260927,-34.6345411880158],[-58.5303846073022,-34.6343617149439],[-58.5303951950416,-34.6341821411766],[-58.5303956102467,-34.6341753889662],[-58.5304104121825,-34.6339335864674],[-58.5304287673549,-34.6336337651296],[-58.5304478719536,-34.6333217147461],[-58.5308020225028,-34.6275366957474],[-58.5308025492122,-34.6275280073314],[-58.5308028704108,-34.627522771501],[-58.5308028703861,-34.6275227412403],[-58.5311507204124,-34.6216780313616],[-58.531163374276,-34.6214654107301],[-58.5315187308737,-34.6154936265375],[-58.5310741273389,-34.6144963261289],[-58.5295174065641,-34.6110042619264],[-58.5295173107923,-34.6110043307534],[-58.5295173281261,-34.611004370358],[-58.529428740135,-34.6110676022534],[-58.529384440103,-34.6110992220313],[-58.5258761071425,-34.6136032173417],[-58.5258759874236,-34.6136033076358],[-58.5252172044046,-34.6140974686246],[-58.5251703697589,-34.6140510687472],[-58.5240291456816,-34.6149957302835],[-58.5215032922883,-34.6169238299005],[-58.5181446072821,-34.6195562483624],[-58.5181447817129,-34.6195563401657],[-58.5181446619733,-34.6195564249502],[-58.5181447032506,-34.6195564463891],[-58.518140067383,-34.6195598041371],[-58.517452423762,-34.6200572062355],[-58.5174503728836,-34.6200586871812],[-58.5170824471386,-34.6203267583252],[-58.5170817167224,-34.6203272884888],[-58.5170783014344,-34.6203297273762],[-58.517078200985,-34.6203297994965],[-58.5168301545609,-34.6203063411007],[-58.5162165631221,-34.6197739831996],[-58.5154860002404,-34.6190855868151],[-58.5148491307785,-34.6185209569787],[-58.5147496813933,-34.6184356674444],[-58.5147481978104,-34.6184343938248],[-58.5141186323407,-34.6178944596692],[-58.5134630313638,-34.6172834026728],[-58.5127981194557,-34.6167342500659],[-58.5127151326734,-34.6166860930369],[-58.5127020022459,-34.616678473809],[-58.5121052197347,-34.6163321399452],[-58.5106058196993,-34.6154497504062],[-58.5100359088921,-34.6150870813836],[-58.5077607004178,-34.6137724198733],[-58.5030391049319,-34.6109718796895],[-58.5030308860721,-34.6109669840107],[-58.5006368622116,-34.6095401628199],[-58.5002206464896,-34.6093034898081],[-58.4980907150149,-34.6116683747457],[-58.4980906298781,-34.6116684771069],[-58.4974294288495,-34.6125574972404],[-58.4974293437113,-34.6125576001512],[-58.4958165183555,-34.6143462458224],[-58.4957896217817,-34.614379624698],[-58.4943793696517,-34.6155910487163],[-58.4903989331642,-34.6186748226778],[-58.4891306148557,-34.6197000036555],[-58.4890032527192,-34.6197986542503],[-58.4876108891648,-34.6208918759228],[-58.4850110477916,-34.62295587562],[-58.4834874093892,-34.6241742182186],[-58.4832923301568,-34.6243494537363],[-58.4828863973437,-34.6246898650182],[-58.4826634465467,-34.6248257233748],[-58.4826633986539,-34.6248258427749],[-58.4826619069589,-34.6248252548607],[-58.482659719007,-34.6248243952641],[-58.4826211865563,-34.6248092123323],[-58.4825197865863,-34.6247689331253],[-58.4825144255406,-34.624766804742],[-58.4802543746251,-34.6238104169169],[-58.47772881138,-34.6225516972076],[-58.4775842705527,-34.6224820750832],[-58.4769939165984,-34.6237517136399],[-58.4766879095607,-34.6244214932031],[-58.4752218625847,-34.6276777917038],[-58.474323834734,-34.6296374117296],[-58.4743130391016,-34.62966098529],[-58.4731706283106,-34.6321537228032],[-58.4730698694983,-34.6323744594364],[-58.4730535478946,-34.6324101992392],[-58.4725968514569,-34.6334106211179],[-58.472594385224,-34.6334160385294],[-58.4711496893097,-34.636609470897],[-58.4711568461387,-34.6366116090045],[-58.4700197362199,-34.6392325122235],[-58.4698432749406,-34.6396353876401],[-58.4698392336399,-34.6396446168237],[-58.4695481724339,-34.6403091660802],[-58.4691514571738,-34.6412125696321],[-58.4689942567059,-34.6414600818071],[-58.4664023697544,-34.6434807421908],[-58.466357136665,-34.6435159955361],[-58.4658110268784,-34.6439819412552],[-58.4656093189747,-34.6441285468566],[-58.4652415308817,-34.644395863671],[-58.465005186084,-34.6445614891568],[-58.4648776880697,-34.6446570671988],[-58.4648655459958,-34.6446664421556],[-58.4648501079275,-34.6446780190423],[-58.4633043461188,-34.6458365785936],[-58.4625806256918,-34.6465476923604],[-58.4624789922657,-34.6466256666636],[-58.4628097259125,-34.6471016266083],[-58.4628097412249,-34.6471016502666],[-58.4628140646352,-34.6471078806471],[-58.4628196456569,-34.6471159250121],[-58.4631897979595,-34.6474682989716],[-58.4638457706686,-34.6484208351591],[-58.4638464663863,-34.6484204329616],[-58.4641691469781,-34.6491100493489],[-58.4641683001462,-34.6491115640396],[-58.4640566558811,-34.6493114674008],[-58.4642628275333,-34.6497567688821],[-58.464317733206,-34.649923775295],[-58.464322707512,-34.6499389011252],[-58.4644830667658,-34.6504266462972],[-58.4644830840765,-34.6504266677544],[-58.4649099533692,-34.6508407584301],[-58.4649317366272,-34.6508443582847],[-58.4651344348245,-34.6509653292415],[-58.4653878071228,-34.6510769929962],[-58.4655736141314,-34.651165393443],[-58.4657988350985,-34.6512677512442],[-58.4659790138097,-34.6513887213588],[-58.4661535629782,-34.6515189971199],[-58.4662492848413,-34.6516167048043],[-58.4663281153282,-34.651709760038],[-58.4663112267559,-34.6517749008261],[-58.4662211431684,-34.651867961012],[-58.4660071911615,-34.6520215119591],[-58.4658382816419,-34.6521564498667],[-58.4656750017475,-34.6522820816457],[-58.465500460491,-34.6524123663399],[-58.4653709619693,-34.6525147325409],[-58.4652639840916,-34.6525798751154],[-58.4651952939683,-34.6525940674327],[-58.4646913714002,-34.6529919078353],[-58.4646912642086,-34.6529920019199],[-58.4630211516818,-34.6543104997089],[-58.4630240226657,-34.654312376407],[-58.4603302443263,-34.6563667960855],[-58.4600986753738,-34.6565433931119],[-58.460090550478,-34.6565366068695],[-58.4600905178532,-34.6565365799094],[-58.4597508450217,-34.6568396367981]]]]}"
