direccion;tel;horario;tramite;lat;lon
Uruguay 753;4373-1896;7.30 a 19.00 hs.;Empadronamiento de Extranjeros, Pasaporte y DNI;-34.599885;-58.386687
Callao 1343;4813-2633;7.30 a 19.00 hs.;Centro de Documentación - DNI 0 años;-34.593421;-58.392903
Suárez 2032;4301-6544 / 4628 / 6679 / 6536 / 3867;7.30 a 19.00 hs.;Empadronamiento de Extranjeros, Pasaporte y DNI;-34.641555;-58.378776
Carlos Calvo 3325;4931-6699 / 4932-5471;7.30 a 19.00 hs;Empadronamiento de Extranjeros, Pasaporte y DNI;-34.623052;-58.412661
Av. Coronel Roca 5252;4605-2631;7.30 a 19.00 hs.;Empadronamiento de Extranjeros, Pasaporte y DNI;-34.68471;-58.455339
Segurola 141;-------;7.30 a 19.00 hs.;Empadronamiento de Extranjeros, Pasaporte y DNI.;-34.632605;-58.483976
Cabildo 3067;4702-3748;7.30 a 19.00 hs.;Empadronamiento de Extranjeros, Pasaporte y DNI;-34.553782;-58.464026
